"drug_name","strength","unit","form","default_route","aliases","category","usual_frequencies","default_dose","max_dose","notes"
"ABACAVIR","20 mg","mg","Oral Solution","Oral","Ziagen 20mg/ml oral solution","","","","",""
"ABACAVIR","300 mg","mg","Tablets","Oral","Abacavir 300mg tablets; Ziagen 300mg tablets","","","","",""
"ABACAVIR WITH DOLUTEGRAVIR AND LAMIVUDINE","50 mg/600 mg","mg","Tablets","Oral","Triumeq 50mg/600mg/300mg tablets","","","","",""
"ABACAVIR WITH LAMIVUDINE","600 mg","mg","Tablets","Oral","Abacavir 600mg / Lamivudine 300mg tablets","","","","",""
"ABACAVIR WITH LAMIVUDINE","600 mg/300 mg","mg","Tablets","Oral","Kivexa 600mg/300mg tablets","","","","",""
"ABALOPARATIDE","1.5 mL","mL","Solution","","Eladynos 80micrograms/40microlitres solution for injection 1.5ml pre-filled pens","","","","",""
"ABATACEPT","125 mg/1 mL","mg","Solution","","Orencia 125mg/1ml solution for injection pre-filled syringes; Orencia ClickJect 125mg/1ml solution for injection pre-filled pens","","","","",""
"ABATACEPT","250 mg","mg","Powder","","Orencia 250mg powder for concentrate for solution for infusion vials","","","","",""
"ABATACEPT","50 mg/0.4 mL","mg","Solution","","Orencia 50mg/0.4ml solution for injection pre-filled syringes","","","","",""
"ABATACEPT","87.5 mg/0.7 mL","mg","Solution","","Orencia 87.5mg/0.7ml solution for injection pre-filled syringes","","","","",""
"ABEMACICLIB SPECIALIST DRUG","100 mg","mg","Tablets","Oral","Verzenios 100mg tablets","","","","",""
"ABEMACICLIB SPECIALIST DRUG","150 mg","mg","Tablets","Oral","Verzenios 150mg tablets","","","","",""
"ABEMACICLIB SPECIALIST DRUG","50 mg","mg","Tablets","Oral","Verzenios 50mg tablets","","","","",""
"ABIRATERONE ACETATE","250 mg","mg","Tablets","Oral","Abiraterone 250mg tablets","","","","",""
"ABIRATERONE ACETATE","500 mg","mg","Tablets","Oral","Abiraterone 500mg tablets; Zytiga 500mg tablets","","","","",""
"ABROCITINIB","100 mg","mg","Tablets","Oral","Cibinqo 100mg tablets","","","","",""
"ABROCITINIB","200 mg","mg","Tablets","Oral","Cibinqo 200mg tablets","","","","",""
"ABROCITINIB","50 mg","mg","Tablets","Oral","Cibinqo 50mg tablets","","","","",""
"ACALABRUTINIB SPECIALIST DRUG","100 mg","mg","Tablets","Oral","Calquence 100mg tablets","","","","",""
"ACAMPROSATE","333 mg","mg","Gastro-Resistant Tablets","Oral","","","Three times daily","666","",""
"ACAMPROSATE CALCIUM","333 mg","mg","Tablets","Oral","Acamprosate 333mg gastro-resistant tablets; Campral EC 333mg tablets","","","","",""
"ACARBOSE","100 mg","mg","Tablets","Oral","Acarbose 100mg tablets","","","","",""
"ACARBOSE","50 mg","mg","Tablets","Oral","Acarbose 50mg tablets","","","","",""
"ACEBUTOLOL","400 mg","mg","Tablets","Oral","Acebutolol 400mg tablets","","","","",""
"ACECLOFENAC","100 mg","mg","Tablets","Oral","Aceclofenac 100mg tablets; Preservex 100mg tablets","","","","",""
"ACENOCOUMAROL","1 mg","mg","Tablets","Oral","Sinthrome 1mg tablets","","","","",""
"ACETAZOLAMIDE","250 mg","mg","Tablets","Oral","Acetazolamide 250mg tablets","","","","",""
"ACETAZOLAMIDE","500 mg","mg","Powder","","Acetazolamide 500mg powder for solution for injection vials; Diamox Sodium Parenteral 500mg powder for solution for injection vials","","","","",""
"ACETYLCHOLINE CHLORIDE","20 mg","mg","Powder","","Miphtel 20mg powder and solvent for solution for intraocular irrigation ampoules","","","","",""
"ACETYLCYSTEINE","","","Drops","Ophthalmic/Otic","Ilube 5% eye drops","","","","",""
"ACETYLCYSTEINE","2 g/10 mL","g","Solution","","Acetylcysteine 2g/10ml solution for infusion ampoules; Parvolex 2g/10ml concentrate for solution for infusion ampoules","","","","",""
"ACETYLCYSTEINE","6 g/30 mL","g","Solution","","Acetadote 6g/30ml solution for infusion vials; Acetylcysteine 6g/30ml solution for infusion vials","","","","",""
"ACETYLCYSTEINE","600 mg","mg","Effervescent Tablets","Oral","","","Each morning","600","",""
"ACETYLCYSTEINE","600 mg","mg","Tablets","Oral","A-CYS 600mg effervescent tablets; AceCil 600mg effervescent tablets; Acepiro 600mg effervescent tablets; Acetylcysteine 600mg effervescent tablets sugar free; NACSYS 600mg effervescent tablets","","","","",""
"ACICLOVIR","","","Cream","Topical","Aciclovir 5% cream; Zovirax 5% cream","","","","",""
"ACICLOVIR","1 g/40 mL","g","Solution","","Aciclovir 1g/40ml concentrate for solution for infusion vials","","","","",""
"ACICLOVIR","200 mg","mg","Tablets","Oral","Aciclovir 200mg tablets; Aciclovir 200mg dispersible tablets; Zovirax 200mg dispersible tablets","","","","",""
"ACICLOVIR","200 mg/5 mL","mg","Oral Suspension","Oral","Aciclovir 200mg/5ml oral suspension sugar free; Zovirax 200mg/5ml oral suspension","","","","",""
"ACICLOVIR","250 mg","mg","Powder","","Aciclovir 250mg powder for solution for Infusion vials; Zovirax I.V. 250mg powder for solution for infusion vials","","","","",""
"ACICLOVIR","250 mg/10 mL","mg","Solution","","Aciclovir 250mg/10ml concentrate for solution for infusion vials","","","","",""
"ACICLOVIR","30 mg","mg","Ointment","Topical","Aciclovir 30mg/g eye ointment","","","","",""
"ACICLOVIR","400 mg","mg","Tablets","Oral","Aciclovir 400mg tablets; Aciclovir 400mg dispersible tablets","","","","",""
"ACICLOVIR","400 mg/5 mL","mg","Oral Suspension","Oral","Aciclovir 400mg/5ml oral suspension sugar free; Zovirax Double Strength 400mg/5ml oral suspension","","","","",""
"ACICLOVIR","500 mg","mg","Powder","","Aciclovir 500mg powder for solution for infusion vials; Zovirax I.V. 500mg powder for solution for infusion vials","","","","",""
"ACICLOVIR","500 mg/20 mL","mg","Solution","","Aciclovir 500mg/20ml concentrate for solution for infusion vials","","","","",""
"ACICLOVIR","800 mg","mg","Tablets","Oral","Aciclovir 800mg tablets; Aciclovir 800mg dispersible tablets","","","","",""
"ACIPIMOX","250 mg","mg","Capsules","Oral","Olbetam 250mg capsules","","","","",""
"ACITRETIN","10 mg","mg","Capsules","Oral","Acitretin 10mg capsules; Neotigason 10mg capsules","","","","",""
"ACITRETIN","25 mg","mg","Capsules","Oral","Acitretin 25mg capsules; Neotigason 25mg capsules","","","","",""
"ACLIDINIUM BROMIDE","","","","","Eklira 322micrograms/dose Genuair","","","","",""
"ACLIDINIUM BROMIDE WITH FORMOTEROL","","","","","Duaklir 340micrograms/dose / 12micrograms/dose Genuair","","","","",""
"ACORAMIDIS","356 mg","mg","Tablets","Oral","Beyonttra 356mg tablets","","","","",""
"ACRIVASTINE","8 mg","mg","Capsules","Oral","Acrivastine 8mg capsules; Benadryl Allergy Relief 8mg capsules","","","","",""
"ACTIVATED CHARCOAL","","","Oral Suspension","Oral","Carbomix 81.3% granules for oral suspension","","","","",""
"ACTIVATED CHARCOAL","200 mg","mg","Oral Suspension","Oral","Charcodote 200mg/ml oral suspension","","","","",""
"ADALIMUMAB","20 mg/0.2 mL","mg","Solution","","Amgevita HCF 20mg/0.2ml solution for injection pre-filled syringes; Humira 20mg/0.2ml solution for injection pre-filled syringes; Yuflyma 20mg/0.2ml solution for injection pre-filled syringes","","","","",""
"ADALIMUMAB","40 mg/0.4 mL","mg","Solution","","Amgevita HCF 40mg/0.4ml solution for injection pre-filled pens; Amgevita HCF 40mg/0.4ml solution for injection pre-filled syringes; Humira 40mg/0.4ml solution for injection pre-filled pens; Humira 40mg/0.4ml solution for injection pre-filled syringes; Hyrimoz 40mg/0.4ml solution for injection pre-filled pens; Hyrimoz 40mg/0.4ml solution for injection pre-filled syringes; Imraldi 40mg/0.4ml solution for injection pre-filled pens; Imraldi 40mg/0.4ml solution for injection pre-filled syringes; Yuflyma 40mg/0.4ml solution for injection pre-filled pens","","","","",""
"ADALIMUMAB","40 mg/0.8 mL","mg","Solution","","Hyrimoz 40mg/0.8ml solution for injection pre-filled syringes; Idacio 40mg/0.8ml solution for injection pre-filled pens; Idacio 40mg/0.8ml solution for injection pre-filled syringes; Idacio 40mg/0.8ml solution for injection vials; Imraldi 40mg/0.8ml solution for injection pre-filled pens; Imraldi 40mg/0.8ml solution for injection pre-filled syringes","","","","",""
"ADALIMUMAB","80 mg/0.8 mL","mg","Solution","","Amgevita HCF 80mg/0.8ml solution for injection pre-filled pens; Amgevita HCF 80mg/0.8ml solution for injection pre-filled syringes; Humira 80mg/0.8ml solution for injection pre-filled pens; Yuflyma 80mg/0.8ml solution for injection pre-filled pens","","","","",""
"ADAPALENE","","","Cream","Topical","Differin 0.1% cream","","","","",""
"ADAPALENE","","","Gel","Topical","Differin 0.1% gel","","","","",""
"ADAPALENE WITH BENZOYL PEROXIDE","","","Gel","Topical","Adapalene 0.1% / Benzoyl peroxide 2.5% gel; Epiduo 0.1%/2.5% gel; Epiduo 0.3%/2.5% gel","","","","",""
"ADCAL D3","1 tablet","tablet","Chewable Tablets","Oral","","","Twice daily","1","",""
"ADCAL D3","1.5g/400units","","Chewable Tablets","Oral","","","Each morning","1","",""
"ADCAL D3","750mg/200 units","units","Caplets","Oral","","","Twice daily","2","",""
"ADENOSINE","30 mg/10 mL","mg","Solution","","Adenoscan 30mg/10ml solution for infusion vials; Adenosine 30mg/10ml solution for infusion vials","","","","",""
"ADENOSINE","6 mg/2 mL","mg","Solution","","Adenosine 6mg/2ml solution for injection ampoules; Adenosine 6mg/2ml solution for injection vials","","","","",""
"ADRENALINE EPINEPHRINE","0.15 mL","mL","Solution","","Jext 150micrograms/0.15ml (1 in 1,000) solution for injection auto-injectors","","","","",""
"ADRENALINE EPINEPHRINE","0.3 mL","mL","Solution","","EpiPen Jr. 150micrograms/0.3ml (1 in 2,000) solution for injection auto-injectors; EpiPen 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors; Jext 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors","","","","",""
"ADRENALINE EPINEPHRINE","0.5 mL","mL","Solution","","Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection ampoules","","","","",""
